scientificName
Euconnus wunderlichi Franz 1983
Neuraphes
Homoconnus conservatus Franz 1983
Rebuffoichnus sciuttoi
Monesichnus ameghinoi
Coprinsiphaera isp.
Leehermania prorova
"Phanaeus labreae (Pierce, 1946)"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Canthon praticola LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus nigrita (Mannerheim, 1846)"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Apsena laticornis Casey, 1851"
"Copris pristinus Pierce, 1946"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Copris pristinus Pierce, 1946"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Canthon (Boreocanthon) simplex LeConte, 1857"
"Coniontis abdominalis LeConte, 1859"
"Coniontis abdominalis LeConte, 1859"
"Nicrophorus nigrita (Mannerheim, 1846)"
"Donacia (Donacia) draycoti Pierce, 1950"
"Canthon praticola LeConte, 1859"
"Donacia (Donacia) draycoti Pierce, 1950"
"Nicrophorus marginatus Fabricius, 1801"
"Nicrophorus marginatus Fabricius, 1801"
"Copris pristinus Pierce, 1946"
"Nicrophorus marginatus Fabricius, 1801"
"Donacia (Donacia) draycoti Pierce, 1950"
"Copris pristinus Pierce, 1946"
"Donacia (Donacia) draycoti Pierce, 1950"
"Copris pristinus Pierce, 1946"
