scientificName
Prunus emarginata (Douglas ex Hook.) Eaton
Prunus ilicifolia (Nutt. ex Hook. & Arn.) Walp.
Prunus brachybotrya Zucc.
Prunus subcordata Benth.
Pyrus pyraster (L.) Burgsd.
Potentilla hirta L.
Prunus transarisanensis Hayata
Potentilla leuconota D.Don
Malus doumeri (Bois) A.Chev.
Horkeliella purpurascens (S.Watson) Rydb.
Horkelia yadonii Ertter
Horkeliella congdonis (Rydb.) Rydb.
Holodiscus microphyllus Rydb.
Horkelia clevelandii (Greene) Rydb.
Horkelia frondosa (Greene) Rydb.
Horkelia truncata Rydb.
Ivesia paniculata T.W.Nelson & J.P.Nelson
Horkelia rydbergii Elmer
Horkelia parryi Greene
Horkelia tenuiloba (Torr.) Gray
Horkelia cuneata Lindl.
Geum canescens (Greene) Munz
Fragaria platypetala Rydb.
Drymocallis glandulosa (Lindl.) Rydb.
Crataegus douglasii Lindl.
Cercocarpus ledifolius Nutt.
Cercocarpus traskiae Eastw.
Cercocarpus betuloides Nutt. ex Torr. & A.Gray
Cercocarpus minutiflorus Abrams
"Amelanchier denticulata (Kunth) K.Koch, 1869"
Spiraea idahoensis A.Nelson
"Crataegus spathulatoides Berry, 1907"
Amelanchier dignatus (Knowlt.) Brown
Crataegus coreana H.Lév.
"Rosa inquirenda Knowlton, 1916"
Chamaebatiaria creedensis R.W.Br.
Sorbus alaskana Hollick
Cercocarpus praeledifolius E.W.Berry
"Crataegus aequidentata Lesquereux, 1878"
"Crataegus holmesii Lesquereux, 1887"
"Malus coronarifolia Berry, 1907"
Amelanchier similis Newb.
"Prunus merriami Knowlton, 1902"
"Rosa wilmattae Cockerell, 1908"
"Prunus variabilis Newberry, 1882"
"Prunus acutifolia Newberry, 1895"
"Crataegus imparilis Knowlton, 1902"
"Crataegus coccineaefolia Berry, 1907"
"Prunus dakotensis Lesquereux, 1883"
"Malus pseudoangustifolia Berry, 1912"
"Crataegus lacoei Lesquereux, 1891"
Amelanchier typica Lesq.
Amelanchier cusickii Fernald
"Crataegus flavescens Newberry, 1882"
Prunus rustii Knowlt.
Crataegus flavescens Bosc ex DC.
Amelanchier obovata Knowlt.
Prunus scottii Heer
"Prunus antecedens Lesquereux, 1891"
Amelanchier peritula Cockerell
Amelanchier whitei Hollick
Amelanchier scudderi Cockerell
Amygdalus wilcoxiana E.W.Berry
"Crataegus tenuinervis Lesquereux, 1891"
Prunus nabortensis E.W.Berry
"Rosa scudderi Knowlton, 1916"
Rubus acutiformis M.Chandler
Rosa rostellata Gand.
Rosa obtusispina Gand.
Rosa bengalensis Pers.
Prunus pereger (Unger) Unger
Potentilla supina L.
Potentilla heptaphylla L.
Crataegus nigra Waldst. & Kit.
Crataegus nodulosa E.Reid
Crataegus acuticarpa (C.Reid & E.Reid) E.Reid
Prunus terra-albae O.M.Ball
"Prunus prefremontii Axelrod, 1937"
"Prunus preandersonii Axelrod, 1937"
Cercocarpus cuneatus Dorf
Rosa ×harmsiana W.H.Lewis
Prunus coveus R.W.Chaney
"Prunus masoni LaMotte, 1936"
Sorbus chengii C.J.Qi
Rubus riograndis L.H.Bailey
Crataegus ×simulata Sarg.
Rubus vitifolius Cham. & Schltdl.
Rubus parviflorus Kük.
Rubus spectabilis Pursh
Prunus emarginata (Douglas ex Hook.) Walp.
Amelanchier alnifolia (Nutt.) Nutt.
"Acer coloradense (MacGinitie, 1953)"
Crataegus nupera Ashe
"Prunus tufacea Knowlton, 1902"
Sorbus hardeggensis Kovanda
Rosa alvarensis Fr.
"Prunus prefasciculata Axelrod, 1939"
"Lyonothamnus mohavensis Axelrod, 1939"
"Rosa miocenica Axelrod, 1939"
"Holodiscus elliptica Axelrod, 1939"
Sorbus oblongifolia Rchb.
Spiraea litwinowii Dobrocz.
Spiraea decumbens Koch
